student_id,gpa,math_grade,programming_grade,data_structures_grade,algorithms_grade,databases_grade,networks_grade,ai_grade,web_grade,interest,passed_courses,failed_courses,passed_count,failed_count,excellent_count,weak_count,math_passed,math_failed,programming_passed,programming_failed,data_structures_passed,data_structures_failed,algorithms_passed,algorithms_failed,databases_passed,databases_failed,networks_passed,networks_failed,ai_passed,ai_failed,web_passed,web_failed,recommended_track,extra_info
STU0675,2.72,77,71,69,70,51,96,53,62,Networks,Mathematics|Programming|Data Structures|Algorithms|Networks|Web Development,Databases|Artificial Intelligence,6,2,1,4,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,Network Engineering,czRAIl
STU0421,9.99,,52,83,66,79,55,  61  ,92,WebDevelopment,Mathematics|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Programming|Networks,6,2,1,4,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,Web Development,KvxDdta
STU0005,3.18,  82  ,88,,91,61,,99,65,AI/ML#,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,4,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,AI/Machine Learning,230
STU0574,3.1,78,85,,82,74,69,59,78,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,2,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Software Engineering,416
STU0134,,,72,65,69,71,83,61,66,Netowrks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,0,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Network Engineering,INFO_4608
STU0666,,71,85,84,70,85,65,52,87,web developement,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,2,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,211
STU0812,3.07,86,84,59,81,79,98.5,75,54,Dat Science,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence,Data Structures|Web Development,6,2,2,2,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,Data Science,INFO_1583
STU0007,3.27,86,83,85,77,81,99,88,61,data science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Data Science,INFO_5443
STU0613,,48,  71  ,63,,68,93,48,55,Networks,Programming|Data Structures|Algorithms|Databases|Networks,Mathematics|Artificial Intelligence|Web Development,5,3,1,5,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,Network Engineering,
STU-0731,3.12,,150.0,100,82,84,67,61,76,Software Engineering#,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Software Engineering,
STU0205,2.82,81,  65  ,69,68,72,86,56,63,network,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,5,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,
STU0795#,3.17,80,84,89,96,62,65,85,68,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Network Engineering,INFO_6430
STU0410,2.7,78,71,67,,64,,54,,Networks#,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,6,2,0,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,Network Engineering,235
STU0626,2.97,83,87,79,82,77,N/A,85,57,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,2,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,AI/Machine Learning,OUf
STU0538,2.68,75,60,73,71,66,86,,46,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,6,2,1,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,Network Engineering,xIhBtd
STU0477,3.12,93,78,82,75,95,62,77,50,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,Data Science,191
STU0316#,2.73,83,75,sixty,69,62,87,56,51,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,6,2,1,5,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,Network Engineering,
732,,65,91,81,101.0,93,71,57,88,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,2,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,INFO_36
stu0521,,86,85,85,81,76,47,44,67,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Web Development,Networks|Artificial Intelligence,6,2,3,3,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,Software Engineering,
STU0599,,70,92,83,68,83,,37,81,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,3,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,Software Engineering,dBOZgFz
STU0009,3.11,81,,seventy,91,64,57,96,,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,10,6,3,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,AI/Machine Learning,43
STU 0671,3.12,79,94,80,77,89,68,,61,Data Sceince,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Data Science,JzjEPb
STU0684,N/A,82,77,93,89,67,70,95,61,Ai/ml,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,NULL,8,0,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,AI/Machine Learning,
stu0692,3.05,65,86,75,60,82,97,51,,SoftwareEngineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,9,8,2,3,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Software Engineering,jSVv
  STU0595  ,N/A,63,85,110.0,67,82,,55,87,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,zQqg
STU0144,2.8,74,96,51,74,77,91,56,56,Networks @2024,Mathematics|Programming|Algorithms|Databases|Networks,Data Structures|Artificial Intelligence|Web Development,5,3,2,3,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,Network Engineering,FiZ
STU0097,,,80,77,90,65.7,67,85,60,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,na,8,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,AI/Machine Learning,-39
STU0284,,67,79,77,54,79,58,  60  ,84,Web Development,Mathematics|Programming|Data Structures|Databases|Artificial Intelligence|Web Development,Algorithms|Networks,6,2,0,4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,Web Development,257
STU0383,2.73,,75,101.0,75,64,87,53,50,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,6,2,1,3,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,Network Engineering,INFO_3744
STU0298,2.59,150.0,65,43,69,66,84,61,55,Networks,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence,Data Structures|Web Development,6,2,0,7,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,Network Engineering,440
STU 0590,3.17,78,82,89,,84,,53,77,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Software Engineering,
STU0649,2.89,76,94,86,77,69,59,46,,Softwre Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Web Development,Networks|Artificial Intelligence,6,2,2,3,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,Software Engineering,JLFoO
STU0295,3.12,200.0,85,85,93,85,60,94,58,data  science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,5,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,Data Science,
  STU0321  ,2.94,88 marks,78,75,77,79,64,78,55,Softwre Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,Data Science,rOIt
STU0353,4.5,,80,80,78,49,61,75,-999.0, Data Science ,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence|Web Development,Databases,7,1,1,3,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,AI/Machine Learning,INFO_1865
STU0256,  3.12  ,89,88,98,84,56,48,89,66%,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence|Web Development,Databases|Networks,6,2,4,3,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,AI/Machine Learning,178
STU0489#,3.11,68,eighty,76,61,89,72,92,94.4,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Web Development,INFO_6016
STU0309,3.14,90,80,76,83,80,70,83,64,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,AI/Machine Learning,MAouKm
STU0773,2.75,74,,90,72,86,64,53,77,Software Engineering,Mathematics|Data Structures|Algorithms|Databases|Networks|Web Development,Programming|Artificial Intelligence,6,2,2,3,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,Software Engineering,INFO_501
STU0612,2.9,60,93,93,51,77,61,54,81,Web Development,Mathematics|Programming|Data Structures|Databases|Networks|Web Development,Algorithms|Artificial Intelligence,6,2,2,4,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,Web Development,INFO_8241
STU0229,2.93,65,999.0,78,82 marks,73,59,,78,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,0,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Software Engineering,zxHpG
STU0453#,2.43,51,82,57,62,,77,39,46,Dat Science,Programming|Algorithms|Databases|Networks,Mathematics|Data Structures|Artificial Intelligence|Web Development,4,4,0,6,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,Network Engineering,RrU
STU0343,3.07,74,90,80,63,74,63,93,80,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Web Development,114
STU0289,3.09,99,,81,75,81,,73,57,Undecided,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,AI/Machine Learning,klRfIsd
STU0440,2.96,77,69,86,86,N/A,fifty,87,55,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,3,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,AI/Machine Learning,407
STU0555,2.91,75,88,71,,N/A,48,63,,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,2,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Web Development,123
STU0696,2.95,83,82,,85,82,N/A,79,62,ai ml,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,AI/Machine Learning,
STU0475,3.02,62,91,79,69,92,61,56,92,web  development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,4,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,Web Development,242
258,-0.5,86,,86,87,60,52,96,64,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,5,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,AI/Machine Learning,INFO_5240
STU0118,3.07,88,80,85,83,67,64,83,67,DataScience,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Data Science,Ebrf
STU0539,3.11,89,,76,86,91,57,81,65,DataScience,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,4,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Data Science,
STU0021,3.0,64,87,67,75,77,57,95,,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,2,4,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Software Engineering,
STU0516,3.06,999.0,,71,78,83,64,77,70,DataScience,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Data Science,
STU0350,2.86,56,82,75,62,74,65,60,92,Web Development,Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Mathematics,7,1,1,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Web Development,INFO_3109
  STU0041  ,2.92,86,79,59,eighty,65,51,86,63,Ai/Ml,Mathematics|Programming|Algorithms|Databases|Artificial Intelligence|Web Development,Data Structures|Networks,6,2,3,4,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,Data Science,
STU0816,,96,72,82,80,75,58,84,57,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,1,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,Data Science,IVVHIlF
STU-0095,2.84,N/A,91,73,56,82,63,50,92,Web Develoment,Mathematics|Programming|Data Structures|Databases|Networks|Web Development,Algorithms|Artificial Intelligence,6,2,2,3,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,Web Development,
STU0872,2.99,82,74,79,85,81,56,84,60,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Data Science,INFO_2853
STU0491,2.98,77,80,82,88,60,62,94,53,AI ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,3,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,AI/Machine Learning,206
stu0707,2.84,69,70,70,73,,91,55,62,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,
269,2.84,73,72,66,,55,89,42,94,network,Mathematics|Programming|Data Structures|Algorithms|Networks|Web Development,Databases|Artificial Intelligence,6,2,2,4,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,Network Engineering,-67
STU0341,2.78,79,68,67,100,65,77,47,64,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,5,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,INFO_1726
STU0396,2.81,eighty,69,,,68,96,61,65,Networks,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Data Structures,7,1,1,6,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,Network Engineering,62
STU0427,2.9,71,81,86,88,69,60,46,80,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,11,3,2,3,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,VMngvHF
STU 0345,3.06,78,81,84,80,69,59,66,82,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,0,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Software Engineering,INFO_477
STU 0896,3.02,70,150.0,85,81,72,64,60,87,undecided,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Web Development,INFO_9880
STU0110,N/A,73,81,86,69,91,57,59,84,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Web Development,Networks|Artificial Intelligence,6,2,2,3,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,Software Engineering,INFO_9907
STU0763,3.07,71,86,97,82,67,56,,53,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,3,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,AI/Machine Learning,
STU0714,2.77,62,53,84,70,81,61,55,94,AI/ML,Mathematics|Data Structures|Algorithms|Databases|Networks|Web Development,Programming|Artificial Intelligence,6,2,1,4,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,
STU-0038,3.2,,87,87,64,84,69,90,87,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Web Development,
STU0779,2.69,63,76,71,69,63,78,59,67,Neetworks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,0,5,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,INFO_736
STU0476,2.86,,,83,,41,  46  ,84,67,Data Science,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence|Web Development,Databases|Networks,6,2,1,3,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,AI/Machine Learning,umPFo
STU0200,,eighty,56,62,73,57,79,42,61,Networks ,Mathematics|Data Structures|Algorithms|Networks|Web Development,Programming|Databases|Artificial Intelligence,5,3,0,5,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,Network Engineering,217
STU0099,3.08,66,98,96,79,81,71,64,-5.0,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Software Engineering,sLEp
STU0180,2.97,83,,,,73,49,93,58,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,3,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,AI/Machine Learning,INFO_5320
STU0290,3.02,82,81,76,85,70,68,94,51,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,AI/Machine Learning,INFO_8889
STU0559,4.1,68,,60,69,65,97,55,63,Networks ,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,11,7,1,6,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,DxyEZ
STU0090,3.1,86,91,89,89,59,70,82,60,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence|Web Development,Databases,7,1,4,2,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,AI/Machine Learning,
STU0019,2.99,67,79,81,84,71,52,94,82,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Software Engineering,
892,2.77,45,93,90,,73,48,57,77,Software Engineering,Programming|Data Structures|Algorithms|Databases|Web Development,Mathematics|Networks|Artificial Intelligence,7,3,2,3,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,Software Engineering,INFO_7116
STU0868,3.08,91,80,N/A,N/A,80,58,101.0,N/A,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,2,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Data Science,345
STU0720,,65,95,74,57,79,61,66,93,web development,Mathematics|Programming|Data Structures|Databases|Networks|Artificial Intelligence|Web Development,Algorithms,7,1,2,4,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,Web Development,crhDicY
STU0615,2.77,69,74,71,67,73,62,53,94,Data Science@2024,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,305
STU0194,2.75,57,82,40,63,81,74,65,81,Web Development,Programming|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Mathematics|Data Structures,5,6,0,4,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,Web Development,425
199,2.85,83,,68 points,,62,85,55,63,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Network Engineering,
STU0807,3.15,65,83,73,88,89,81,59,85,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,2,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,INFO_63
STU0185,2.94,,78,79,80,72,53,82,59,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,0,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,AI/Machine Learning,INFO_1046
STU0554,2.96,81,99,83,77,59,58,86,49,Ai/Ml,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence,Databases|Networks|Web Development,5,3,2,3,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,AI/Machine Learning,liI
STU0565,3.17,,-999.0,95,86,75,,61,71,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,2,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,Software Engineering,41
stu0654,,89,,71,91,64,-5.0,83,61,Ai/Ml,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,2,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,AI/Machine Learning,INFO_3437
STU0636,2.85,65,95,75,53,85,,59,91,Web Development,Mathematics|Programming|Data Structures|Databases|Web Development,Algorithms|Networks|Artificial Intelligence,5,3,3,4,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,Web Development,LXcM
STU0717,2.77,66,,82,74,85,59,59,39,Web Dev,Mathematics|Programming|Data Structures|Algorithms|Databases,Networks|Artificial Intelligence|Web Development,5,3,2,4,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,Web Development,228
  STU0182  ,2.87,63,87,83,,78,68,46,90,Ai/Ml,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,124
STU0008,-0.5,,75,75,86,59,72,88,58,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence,Databases|Web Development,6,2,2,2,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,AI/Machine Learning,INFO_643
STU0879,3.13,56,75,82,86,93,39,94,89,DataScience,Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Mathematics|Networks,6,2,4,2,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Software Engineering,
STU0667,3.06,87,79,75,85,,63.3,91,59,Netwroks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,3,2,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,Network Engineering,94
