student_id,gpa,math_grade,programming_grade,data_structures_grade,algorithms_grade,databases_grade,networks_grade,ai_grade,web_grade,interest,passed_courses,failed_courses,passed_count,failed_count,excellent_count,weak_count,math_passed,programming_passed,data_structures_passed,algorithms_passed,databases_passed,networks_passed,ai_passed,web_passed,math_failed,programming_failed,data_structures_failed,algorithms_failed,databases_failed,networks_failed,ai_failed,web_failed,recommended_track
STU0595,2.96,63,85,78,67,82,64,55,87,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0144,2.8,74,96,51,74,77,91,56,56,Networks,Mathematics|Programming|Algorithms|Databases|Networks,Data Structures|Artificial Intelligence|Web Development,5,3,2,3,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,Network Engineering
STU0097,2.96,76,80,77,90,66,67,85,60,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0284,2.96,67,79,77,54,79,58,60,84,Web Development,Mathematics|Programming|Data Structures|Databases|Artificial Intelligence|Web Development,Algorithms|Networks,6,2,0,4,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,Web Development
STU0383,2.73,76,75,78,75,64,87,53,50,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,6,2,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,Network Engineering
STU0298,2.59,76,65,43,69,66,84,61,55,Networks,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence,Data Structures|Web Development,6,2,0,6,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,Network Engineering
STU0590,3.17,78,82,89,77,84,64,53,77,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Software Engineering
STU0649,2.89,76,94,86,77,69,59,46,65,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Web Development,Networks|Artificial Intelligence,6,2,2,4,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,Software Engineering
STU0295,3.12,76,85,85,93,85,60,94,58,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,5,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Data Science
STU0321,2.94,88,78,75,77,79,64,78,55,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Data Science
STU0353,2.96,76,80,80,78,49,61,75,65,Data Science,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence|Web Development,Databases,7,1,0,3,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,AI/Machine Learning
STU0256,3.12,89,88,98,84,56,48,89,66,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence|Web Development,Databases|Networks,6,2,4,3,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,AI/Machine Learning
STU0489,3.11,68,80,76,61,89,72,92,94,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Web Development
STU0309,3.14,90,80,76,83,80,70,83,64,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0773,2.75,74,82,90,72,86,64,53,77,Software Engineering,Mathematics|Data Structures|Algorithms|Databases|Networks|Web Development,Programming|Artificial Intelligence,7,1,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Software Engineering
STU0612,2.9,60,93,93,51,77,61,54,81,Web Development,Mathematics|Programming|Data Structures|Databases|Networks|Web Development,Algorithms|Artificial Intelligence,6,2,2,4,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,Web Development
STU0229,2.93,65,82,78,82,73,59,63,78,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,0,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Software Engineering
STU0453,2.43,51,82,57,62,76,77,39,46,Data Science,Programming|Algorithms|Databases|Networks,Mathematics|Data Structures|Artificial Intelligence|Web Development,4,4,0,5,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,Network Engineering
STU0343,3.07,74,90,80,63,74,63,93,80,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Web Development
STU0289,3.09,99,82,81,75,81,64,73,57,Undecided,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,AI/Machine Learning
STU0440,2.96,77,69,86,86,76,50,87,55,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,3,3,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,AI/Machine Learning
STU0555,2.91,75,88,71,77,76,48,63,65,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Web Development
STU0696,2.95,83,82,78,85,82,64,79,62,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,None,8,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0475,3.02,62,91,79,69,92,61,56,92,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0258,0.5,86,82,86,87,60,52,96,64,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,4,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,AI/Machine Learning
STU0118,3.07,88,80,85,83,67,64,83,67,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Data Science
STU0539,3.11,89,82,76,86,91,57,81,65,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,3,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Data Science
STU0516,3.06,76,82,71,78,83,64,77,70,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Data Science
STU0350,2.86,56,82,75,62,74,65,60,92,Web Development,Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Mathematics,7,1,1,4,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Web Development
STU0041,2.92,86,79,59,80,65,51,86,63,AI/ML,Mathematics|Programming|Algorithms|Databases|Artificial Intelligence|Web Development,Data Structures|Networks,6,2,2,4,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,Data Science
STU0816,2.96,96,72,82,80,75,58,84,57,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,Data Science
STU0095,2.84,76,91,73,56,82,63,50,92,Web Development,Mathematics|Programming|Data Structures|Databases|Networks|Web Development,Algorithms|Artificial Intelligence,6,2,2,3,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,Web Development
STU0872,2.99,82,74,79,85,81,56,84,60,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Data Science
STU0491,2.98,77,80,82,88,60,62,94,53,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,AI/Machine Learning
STU0707,2.84,69,70,70,73,76,91,55,62,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0269,2.84,73,72,66,77,55,89,42,94,Networks,Mathematics|Programming|Data Structures|Algorithms|Networks|Web Development,Databases|Artificial Intelligence,6,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,Network Engineering
STU0341,2.78,79,68,67,100,65,77,47,64,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0396,2.81,80,69,78,77,68,96,61,65,Networks,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,1,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Network Engineering
STU0427,2.9,71,81,86,88,69,60,46,80,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0345,3.06,78,81,84,80,69,59,66,82,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,0,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Software Engineering
STU0896,3.02,70,82,85,81,72,64,60,87,Undecided,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Web Development
STU0110,2.96,73,81,86,69,91,57,59,84,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Web Development,Networks|Artificial Intelligence,6,2,2,3,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,Software Engineering
STU0763,3.07,71,86,97,82,67,56,63,53,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,2,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,AI/Machine Learning
STU0038,3.2,76,87,87,64,84,69,90,87,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Web Development
STU0779,2.69,63,76,71,69,63,78,59,67,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,0,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0476,2.86,76,82,83,77,41,46,84,67,Data Science,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence|Web Development,Databases|Networks,6,2,0,3,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,AI/Machine Learning
STU0200,2.96,80,56,62,73,57,79,42,61,Networks,Mathematics|Data Structures|Algorithms|Networks|Web Development,Programming|Databases|Artificial Intelligence,5,3,0,5,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,Network Engineering
STU0099,3.08,66,98,96,79,81,71,64,65,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Software Engineering
STU0180,2.97,83,82,78,77,73,49,93,58,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,AI/Machine Learning
STU0290,3.02,82,81,76,85,70,68,94,51,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,AI/Machine Learning
STU0559,2.96,68,82,60,69,65,97,55,63,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,6,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0090,3.1,86,91,89,89,59,70,82,60,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence|Web Development,Databases,7,1,4,2,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,AI/Machine Learning
STU0019,2.99,67,79,81,84,71,52,94,82,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Software Engineering
STU0892,2.77,45,93,90,77,73,48,57,77,Software Engineering,Programming|Data Structures|Algorithms|Databases|Web Development,Mathematics|Networks|Artificial Intelligence,5,3,2,3,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,Software Engineering
STU0868,3.08,91,80,78,77,80,58,63,65,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Data Science
STU0720,2.96,65,95,74,57,79,61,66,93,Web Development,Mathematics|Programming|Data Structures|Databases|Networks|Artificial Intelligence|Web Development,Algorithms,7,1,2,4,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,Web Development
STU0615,2.77,69,74,71,67,73,62,53,94,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0194,2.75,57,82,40,63,81,74,65,81,Web Development,Programming|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Mathematics|Data Structures,6,2,0,4,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,Web Development
STU0199,2.85,83,82,68,77,62,85,55,63,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0807,3.15,65,83,73,88,89,81,59,85,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0185,2.94,76,78,79,80,72,53,82,59,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,AI/Machine Learning
STU0554,2.96,81,99,83,77,59,58,86,49,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence,Databases|Networks|Web Development,5,3,2,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,AI/Machine Learning
STU0565,3.17,76,82,95,86,75,64,61,71,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Software Engineering
STU0654,2.96,89,82,71,91,64,64,83,61,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,None,8,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0636,2.85,65,95,75,53,85,64,59,91,Web Development,Mathematics|Programming|Data Structures|Databases|Web Development,Algorithms|Networks|Artificial Intelligence,6,2,3,4,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,Web Development
STU0717,2.77,66,82,82,74,85,59,59,39,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases,Networks|Artificial Intelligence|Web Development,5,3,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Web Development
STU0182,2.87,63,87,83,77,78,68,46,90,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0008,0.5,76,75,75,86,59,72,88,58,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence,Databases|Web Development,6,2,2,2,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,AI/Machine Learning
STU0879,3.13,56,75,82,86,93,39,94,89,Data Science,Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Mathematics|Networks,6,2,4,2,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,Software Engineering
STU0667,3.06,87,79,75,85,76,63,91,59,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Network Engineering
STU0467,2.61,87,82,78,79,58,45,63,65,AI/ML,Mathematics|Programming|Algorithms|Artificial Intelligence,Data Structures|Databases|Networks|Web Development,6,2,1,4,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,AI/Machine Learning
STU0705,2.82,77,79,78,89,84,58,51,58,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases,Networks|Artificial Intelligence|Web Development,5,3,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Data Science
STU0351,3.13,76,80,87,87,83,47,84,56,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,Data Science
STU0323,3.01,68,89,87,87,68,60,67,65,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Software Engineering
STU0012,3.01,83,73,78,91,68,54,84,64,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,1,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Software Engineering
STU0855,2.9,73,87,83,55,87,64,36,65,Undecided,Mathematics|Programming|Data Structures|Databases|Networks|Web Development,Algorithms|Artificial Intelligence,6,2,2,4,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,Web Development
